UniprotID	ProteinName	Gene
Q00604	Norrin (Norrie disease protein) (X-linked exudative vitreoretinopathy 2 protein)	NDP
Q6T4R5	Nance-Horan syndrome protein (Congenital cataracts and dental anomalies protein)	NHS
Q8NCW5	NAD(P)H-hydrate epimerase (EC 5.1.99.6) (Apolipoprotein A-I-binding protein) (AI-BP) (NAD(P)HX epimerase) (YjeF N-terminal domain-containing protein 1) (YjeF_N1)	NAXE
Q9UM47	Neurogenic locus notch homolog protein 3 (Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain]	NOTCH3
O15259	Nephrocystin-1 (Juvenile nephronophthisis 1 protein)	NPHP1
Q8N130	Sodium-dependent phosphate transport protein 2C (Sodium-phosphate transport protein 2C) (Na(+)-dependent phosphate cotransporter 2C) (Sodium/inorganic phosphate cotransporter IIC) (Sodium/phosphate cotransporter 2C) (Na(+)/Pi cotransporter 2C) (NaPi-2c) (Solute carrier family 34 member 3)	SLC34A3
P51843	Nuclear receptor subfamily 0 group B member 1 (DSS-AHC critical region on the X chromosome protein 1) (Nuclear receptor DAX-1)	NR0B1
Q15466	Nuclear receptor subfamily 0 group B member 2 (Orphan nuclear receptor SHP) (Small heterodimer partner)	NR0B2
Q02297	"Pro-neuregulin-1, membrane-bound isoform (Pro-NRG1) [Cleaved into: Neuregulin-1 (Acetylcholine receptor-inducing activity) (ARIA) (Breast cancer cell differentiation factor p45) (Glial growth factor) (Heregulin) (HRG) (Neu differentiation factor) (Sensory and motor neuron-derived factor)]"	NRG1
Q01453	Peripheral myelin protein 22 (PMP-22) (Growth arrest-specific protein 3) (GAS-3)	PMP22
Q15126	Phosphomevalonate kinase (PMKase) (hPMK) (EC 2.7.4.2)	PMVK
Q15738	"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating (EC 1.1.1.170) (Protein H105e3)"	NSDHL
Q96MG7	Non-structural maintenance of chromosomes element 3 homolog (Non-SMC element 3 homolog) (Hepatocellular carcinoma-associated protein 4) (MAGE-G1 antigen) (Melanoma-associated antigen G1) (Necdin-like protein 2)	NSMCE3
Q6ZRI0	Otogelin	OTOG
Q6VY07	Phosphofurin acidic cluster sorting protein 1 (PACS-1)	PACS1
Q86VP3	Phosphofurin acidic cluster sorting protein 2 (PACS-2) (PACS1-like protein)	PACS2
